----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. | Configurations  |     Terms    |                 Observed  |                       Ritz    |              Ei           Ek              |  gi   gk  |     Aki    |     fik    | Acc. |Type|      TP  |       Line  |
  No.  |                 |              |                Wavelength |                    Wavelength |            (cm-1)       (cm-1)            |           |     s^-1   |            |      |    |     Ref. |       Ref.  |
       |                 |              |                 Vac  (Å)  |                     Vac  (Å)  |                                           |           |            |            |      |    |          |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                 |              |                           |                32956.22937382 |[193921.617719262]   - [196955.945429077]  |  11 - 9   |  1.3474e+03|  1.7951e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32956.20376339 |[193921.614948739]   - [196955.945016545]  |   9 - 7   |  1.2627e+03|  1.5991e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32956.24852399 |[193921.620238142]   - [196955.946184774]  |   7 - 5   |  1.4174e+03|  1.6485e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32956.19928283 |[193921.614948739]   - [196955.945429077]  |   9 - 9   |  3.5767e+01|  5.8239e-06| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32956.26121229 |[193921.620238142]   - [196955.945016545]  |   7 - 7   |  6.8452e+01|  1.1146e-05| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   452 |                 |   3G  - 1F*  |                           |                32956.2031499  | 193921.617262853    -  196955.947387145   |  27 - 7   |  1.288e+02 |  5.437e-06 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                32956.17801605 |[193921.614948739]   - [196955.947387145]  |   9 - 7   |  1.087e+02 |  1.377e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                32956.23546486 |[193921.620238142]   - [196955.947387145]  |   7 - 7   |  2.014e+01 |  3.279e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   453 |  1s.5g - 1s.9h  |   3G  - 3H*  |                           |                32954.9759813  | 193921.617448797    -  196956.060564668   |  27 - 33  |  1.295e+05 |  2.577e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                32954.97863029 |[193921.617719262]   - [196956.060591214]  |  11 - 13  |  1.3033e+05|  2.5078e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32954.95190161 |[193921.614948739]   - [196956.060281828]  |   9 - 11  |  1.2762e+05|  2.5396e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32955.00293649 |[193921.620238142]   - [196956.060872018]  |   7 - 9   |  1.2390e+05|  2.5937e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32954.98199032 |[193921.617719262]   - [196956.060281828]  |  11 - 11  |  2.6862e+03|  4.3736e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32954.94549198 |[193921.614948739]   - [196956.060872018]  |   9 - 9   |  3.3076e+03|  5.3853e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                32954.97558068 |[193921.617719262]   - [196956.060872018]  |  11 - 9   |  6.4363e+01|  8.5740e-06| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   454 |                 |   3G  - 1H*  |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                32954.97330490 |[193921.617719262]   - [196956.061081567]  |  11 - 11  |  2.527e+03 |  4.115e-04 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   455 |  1s.5g - 1s.10f |   3G  - 3F*  |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                30379.12011903 |[193921.617719262]   - [197213.352292488]  |  11 - 9   |  8.7165e+02|  9.8673e-05| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30379.09726393 |[193921.614948739]   - [197213.351998435]  |   9 - 7   |  8.1334e+02|  8.7525e-05| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30379.13828167 |[193921.620238142]   - [197213.352843353]  |   7 - 5   |  9.1693e+02|  9.0618e-05| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30379.09455014 |[193921.614948739]   - [197213.352292488]  |   9 - 9   |  2.3137e+01|  3.2012e-06| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30379.14607935 |[193921.620238142]   - [197213.351998435]  |   7 - 7   |  4.4624e+01|  6.1741e-06| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   456 |                 |   3G  - 1F*  |                           |                30379.1025203  | 193921.617262853    -  197213.353742992   |  27 - 7   |  8.649e+01 |  3.102e-06 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                30379.08116361 |[193921.614948739]   - [197213.353742992]  |   9 - 7   |  7.381e+01 |  7.943e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                30379.12997898 |[193921.620238142]   - [197213.353742992]  |   7 - 7   |  1.268e+01 |  1.755e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   457 |  1s.5g - 1s.10h |   3G  - 3H*  |                           |                30378.3368371  | 193921.617448797    -  197213.436896855   |  27 - 33  |  8.082e+04 |  1.367e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                30378.33915447 |[193921.617719262]   - [197213.436916208]  |  11 - 13  |  8.1349e+04|  1.3301e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30378.31566830 |[193921.614948739]   - [197213.436690665]  |   9 - 11  |  7.9656e+04|  1.3470e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30378.36051070 |[193921.620238142]   - [197213.437120912]  |   7 - 9   |  7.7331e+04|  1.3756e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30378.34123587 |[193921.617719262]   - [197213.436690665]  |  11 - 11  |  1.6766e+03|  2.3196e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30378.31169780 |[193921.614948739]   - [197213.437120912]  |   9 - 9   |  2.0644e+03|  2.8561e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                30378.33726537 |[193921.617719262]   - [197213.437120912]  |  11 - 9   |  4.0172e+01|  4.5473e-06| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   458 |                 |   3G  - 1H*  |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                30378.33585561 |[193921.617719262]   - [197213.437273674]  |  11 - 11  |  1.577e+03 |  2.182e-04 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   459 |  1s.5g - 1s.6f  |   1G  - 3F*  |                           |                74582.161661   | 193921.621933101    -  195262.425119448   |   9 - 21  |  2.684e+02 |  5.223e-04 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                74582.2118690  |[193921.621933101]   - [195262.424216836]  |   9 - 7   |  4.618e+02 |  2.995e-04 | AA   |    | T8636c73 |             |
       |                 |              |                           |                74582.1226107  |[193921.621933101]   - [195262.425821479]  |   9 - 9   |  2.670e+02 |  2.227e-04 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   460 |                 |   1G  - 1F*  |                           |                74581.7909275  |[193921.621933101]   - [195262.431784358]  |   9 - 7   |  1.062e+04 |  6.888e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   461 |  1s.5g - 1s.6h  |   1G  - 3H*  |                           |                74561.651256   | 193921.621933101    -  195262.793947346   |   9 - 33  |  1.066e+04 |  3.258e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                74561.5903484  |[193921.621933101]   - [195262.795042911]  |   9 - 9   |  3.870e+04 |  3.225e-02 | AA   |    | T8636c73 |             |
       |                 |              |                           |                74561.7010889  |[193921.621933101]   - [195262.793050975]  |   9 - 11  |  3.180e+02 |  3.239e-04 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   462 |                 |   1G  - 1H*  |                           |                74561.5510323  |[193921.621933101]   - [195262.795750108]  |   9 - 11  |  1.614e+06 |  1.644e+00 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   463 |  1s.5g - 1s.7f  |   1G  - 3F*  |                           |                46521.261557   | 193921.621933101    -  196071.176709828   |   9 - 21  |  1.243e+02 |  9.410e-05 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                46521.2730679  |[193921.621933101]   - [196071.176177974]  |   9 - 7   |  2.324e+02 |  5.865e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                46521.2526047  |[193921.621933101]   - [196071.177123492]  |   9 - 9   |  1.092e+02 |  3.544e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   464 |                 |   1G  - 1F*  |                           |                46521.1673025  |[193921.621933101]   - [196071.181064965]  |   9 - 7   |  4.300e+03 |  1.085e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   465 |  1s.5g - 1s.7h  |   1G  - 3H*  |                           |                46516.1033187  | 193921.621933101    -  196071.415077098   |   9 - 33  |  3.297e+03 |  3.922e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                46516.08839074 |[193921.621933101]   - [196071.415767010]  |   9 - 9   |  1.197e+04 |  3.883e-03 | AA   |    | T8636c73 |             |
       |                 |              |                           |                46516.11553248 |[193921.621933101]   - [196071.414512625]  |   9 - 11  |  9.834e+01 |  3.899e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   466 |                 |   1G  - 1H*  |                           |                46516.07875433 |[193921.621933101]   - [196071.416212368]  |   9 - 11  |  4.992e+05 |  1.979e-01 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   467 |  1s.5g - 1s.8f  |   1G  - 3F*  |                           |                37390.7652000  | 193921.621933101    -  196596.079100936   |   9 - 21  |  6.904e+01 |  3.376e-05 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                37390.76996480 |[193921.621933101]   - [196596.078760123]  |   9 - 7   |  1.350e+02 |  2.200e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                37390.76149405 |[193921.621933101]   - [196596.079366013]  |   9 - 9   |  5.610e+01 |  1.176e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   468 |                 |   1G  - 1F*  |                           |                37390.72337449 |[193921.621933101]   - [196596.082092602]  |   9 - 7   |  2.193e+03 |  3.575e-04 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   469 |  1s.5g - 1s.8h  |   1G  - 3H*  |                           |                37388.4956625  | 193921.621933101    -  196596.241444478   |   9 - 33  |  1.516e+03 |  1.165e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                37388.48920165 |[193921.621933101]   - [196596.241906662]  |   9 - 9   |  5.502e+03 |  1.153e-03 | AA   |    | T8636c73 |             |
       |                 |              |                           |                37388.50094868 |[193921.621933101]   - [196596.241066328]  |   9 - 11  |  4.520e+01 |  1.158e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   470 |                 |   1G  - 1H*  |                           |                37388.48503089 |[193921.621933101]   - [196596.242205021]  |   9 - 11  |  2.295e+05 |  5.878e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   471 |  1s.5g - 1s.9f  |   1G  - 3F*  |                           |                32956.2771012  | 193921.621933101    -  196955.945248594   |   9 - 21  |  4.297e+01 |  1.633e-05 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                32956.27962151 |[193921.621933101]   - [196955.945016545]  |   9 - 7   |  8.630e+01 |  1.093e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                32956.27514093 |[193921.621933101]   - [196955.945429077]  |   9 - 9   |  3.314e+01 |  5.396e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   472 |                 |   1G  - 1F*  |                           |                32956.25387406 |[193921.621933101]   - [196955.947387145]  |   9 - 7   |  1.288e+03 |  1.631e-04 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   473 |  1s.5g - 1s.9h  |   1G  - 3H*  |                           |                32955.0248696  | 193921.621933101    -  196956.060547413   |   9 - 33  |  8.440e+02 |  5.039e-04 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                32955.02134431 |[193921.621933101]   - [196956.060872018]  |   9 - 9   |  3.064e+03 |  4.989e-04 | AA   |    | T8636c73 |             |
       |                 |              |                           |                32955.02775397 |[193921.621933101]   - [196956.060281828]  |   9 - 11  |  2.518e+01 |  5.010e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   474 |                 |   1G  - 1H*  |                           |                32955.01906853 |[193921.621933101]   - [196956.061081567]  |   9 - 11  |  1.278e+05 |  2.543e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   475 |  1s.5g - 1s.10f |   1G  - 3F*  |                           |                30379.1601955  | 193921.621933101    -  197213.35216384    |   9 - 21  |  2.884e+01 |  9.311e-06 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                30379.16172201 |[193921.621933101]   - [197213.351998435]  |   9 - 7   |  5.895e+01 |  6.344e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                30379.15900821 |[193921.621933101]   - [197213.352292488]  |   9 - 9   |  2.144e+01 |  2.966e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   476 |                 |   1G  - 1F*  |                           |                30379.14562162 |[193921.621933101]   - [197213.353742992]  |   9 - 7   |  8.304e+02 |  8.936e-05 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   477 |  1s.5g - 1s.10h |   1G  - 3H*  |                           |                30378.3783363  | 193921.621933101    -  197213.436884276   |   9 - 33  |  5.270e+02 |  2.673e-04 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                30378.37615255 |[193921.621933101]   - [197213.437120912]  |   9 - 9   |  1.913e+03 |  2.646e-04 | AA   |    | T8636c73 |             |
       |                 |              |                           |                30378.38012306 |[193921.621933101]   - [197213.436690665]  |   9 - 11  |  1.571e+01 |  2.656e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   478 |                 |   1G  - 1H*  |                           |                30378.37474279 |[193921.621933101]   - [197213.437273674]  |   9 - 11  |  7.977e+04 |  1.349e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   479 |  1s.5p - 1s.6s  |   1P* - 1S   |                           |                85294.6551     |[193942.462294]      - [195114.8687]       |   3 - 1   |  5.932e+05 |  2.157e-01 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   480 |  1s.5p - 1s.6d  |   1P* - 3D   |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                75895.02378    |[193942.462294]      - [195260.07173649]   |   3 - 5   |  4.082e+01 |  5.875e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   481 |                 |   1P* - 1D   |                           |                75854.79551    |[193942.462294]      - [195260.77050808]   |   3 - 5   |  4.660e+05 |  6.700e-01 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   482 |  1s.5p - 1s.6p  |   1P* - 1P*  |                           |                75049.93605    |[193942.462294]      - [195274.908466]     |   3 - 3   |  1.129e-01 |  9.534e-08 | AAA  | E2 |    T7378 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   483 |  1s.5p - 1s.7s  |   1P* - 1S   |                           |                49105.47288    |[193942.462294]      - [195978.895183]     |   3 - 1   |  3.242e+05 |  3.907e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   484 |  1s.5p - 1s.7d  |   1P* - 3D   |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                47009.91649    |[193942.462294]      - [196069.67304998]   |   3 - 5   |  2.405e+01 |  1.328e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   485 |                 |   1P* - 1D   |                           |                46999.85609    |[193942.462294]      - [196070.12838342]   |   3 - 5   |  2.954e+05 |  1.630e-01 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   486 |  1s.5p - 1s.8s  |   1P* - 1S   |                           |                38578.73087    |[193942.462294]      - [196534.5641527]    |   3 - 1   |  2.020e+05 |  1.502e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   487 |  1s.5p - 1s.8d  |   1P* - 3D   |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                37698.86048    |[193942.462294]      - [196595.06236505]   |   3 - 5   |  1.518e+01 |  5.392e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   488 |                 |   1P* - 1D   |                           |                37694.43129    |[193942.462294]      - [196595.37405237]   |   3 - 5   |  1.953e+05 |  6.934e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   489 |  1s.5p - 1s.9s  |   1P* - 1S   |                           |                33665.04182    |[193942.462294]      - [196912.9026855]    |   3 - 1   |  1.356e+05 |  7.680e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   490 |  1s.5p - 1s.9d  |   1P* - 1D   |                           |                33189.66131    |[193942.462294]      - [196955.44875025]   |   3 - 5   |  1.354e+05 |  3.727e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   491 |  1s.5p - 1s.10s |   1P* - 1S   |                           |                30867.97740    |[193942.462294]      - [197182.0655468]    |   3 - 1   |  9.591e+04 |  4.567e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   492 |  1s.5p - 1s.10d |   1P* - 1D   |                           |                30576.10984    |[193942.462294]      - [197212.98953041]   |   3 - 5   |  9.774e+04 |  2.283e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   493 |  1s.6s - 1s.6p  |   3S  - 3P*  |                           |               389669.17       | 194936.119697       -  195192.7476477     |   3 - 9   |  2.698e+04 |  1.843e+00 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |               389676.265      |[194936.119697]      - [195192.7429742]    |   3 - 5   |  2.6979e+04|  1.0236e+00| AAA  |    | T8636c73 |             |
       |                 |              |                           |               389672.340      |[194936.119697]      - [195192.7455590]    |   3 - 3   |  2.6979e+04|  6.1416e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |               389624.177      |[194936.119697]      - [195192.7772813]    |   3 - 1   |  2.6979e+04|  2.0467e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   494 |  1s.6s - 1s.7p  |   3S  - 3P*  |                           |                91642.376      | 194936.119697       -  196027.3179468     |   3 - 9   |  1.067e+04 |  4.030e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                91642.6210     |[194936.119697]      - [196027.3150267]    |   3 - 5   |  1.0673e+04|  2.2397e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                91642.4854     |[194936.119697]      - [196027.3166408]    |   3 - 3   |  1.0673e+04|  1.3438e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                91640.8206     |[194936.119697]      - [196027.3364649]    |   3 - 1   |  1.0673e+04|  4.4792e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   495 |  1s.6s - 1s.8p  |   3S  - 3P*  |                           |                61327.342      | 194936.119697       -  196566.7137673     |   3 - 9   |  1.241e+04 |  2.099e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                61327.4150     |[194936.119697]      - [196566.7118220]    |   3 - 5   |  1.2413e+04|  1.1665e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                61327.3746     |[194936.119697]      - [196566.7128971]    |   3 - 3   |  1.2413e+04|  6.9991e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                61326.8779     |[194936.119697]      - [196566.7261046]    |   3 - 1   |  1.2413e+04|  2.3330e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   496 |  1s.6s - 1s.9p  |   3S  - 3P*  |                           |                50019.6807     | 194936.119697       -  196935.3327788     |   3 - 9   |  1.052e+04 |  1.184e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                50019.71475    |[194936.119697]      - [196935.3314182]    |   3 - 5   |  1.0521e+04|  6.5773e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                50019.69593    |[194936.119697]      - [196935.3321700]    |   3 - 3   |  1.0521e+04|  3.9464e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                50019.46480    |[194936.119697]      - [196935.3414081]    |   3 - 1   |  1.0521e+04|  1.3154e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   497 |  1s.6s - 1s.10p |   3S  - 3P*  |                           |                44204.4826     | 194936.119697       -  197198.3337108     |   3 - 9   |  8.432e+03 |  7.410e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                44204.50192    |[194936.119697]      - [197198.3327222]    |   3 - 5   |  8.4323e+03|  4.1170e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                44204.49125    |[194936.119697]      - [197198.3332683]    |   3 - 3   |  8.4323e+03|  2.4702e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                44204.36007    |[194936.119697]      - [197198.3399816]    |   3 - 1   |  8.4323e+03|  8.2340e-04| AAA  |    | T8636c73 |             |
