----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. | Configurations  |     Terms    |                 Observed  |                       Ritz    |              Ei           Ek              |  gi   gk  |     Aki    |     fik    | Acc. |Type|      TP  |       Line  |
  No.  |                 |              |                Wavelength |                    Wavelength |            (cm-1)       (cm-1)            |           |     s^-1   |            |      |    |     Ref. |       Ref.  |
       |                 |              |                 Vac  (Å)  |                     Vac  (Å)  |                                           |           |            |            |      |    |          |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
    49 |  1s.2s - 1s.10p |   1S  - 1P*  |             3232.199      |                 3232.2031463  |[166277.440141]      - [197216.0895622]    |   1 - 3   |  5.102e+05 |  2.397e-03 | AAA  |    | T8636c73 |     L14924  |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
    50 |  1s.2p - 1s.3s  |   3P* - 3S   |                           |                 7067.1970     | 169086.9102077      -  183236.7917        |   9 - 3   |  2.785e+07 |  6.951e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |             7067.138      |                 7067.16338    |[169086.8428979]     - [183236.79170]      |   3 - 3   |  9.2844e+06|  6.9519e-02| AAA  |    | T8636c73 |  L14925c72  |
       |                 |              |             7067.66       |                 7067.65683    |[169087.8308131]     - [183236.79170]      |   1 - 3   |  3.0948e+06|  6.9528e-02| AAA  |    | T8636c73 |       L366  |
       |                 |              |             7067.138      |                 7067.12521    |[169086.7664725]     - [183236.79170]      |   5 - 3   |  1.5474e+07|  6.9518e-02| AAA  |    | T8636c73 |  L14925c72  |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
    51 |  1s.2p - 1s.3d  |   3P* - 3D   |                           |                 5877.289432   | 169086.9102077      -  186101.5563569     |   9 - 15  |  7.070e+07 |  6.102e-01 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                 5877.2271633  |[169086.7664725]     - [186101.5928903]    |   5 - 3   |  1.9641e+06|  6.1026e-03| AAA  |    | T8636c73 |             |
       |                 |              |             5877.249      |                 5877.2424312  |[169086.7664725]     - [186101.5486891]    |   5 - 5   |  1.7673e+07|  9.1520e-02| AAA  |    | T8636c73 |       L366  |
       |                 |              |             5877.249      |                 5877.2688301  |[169086.8428979]     - [186101.5486891]    |   3 - 5   |  5.3019e+07|  4.5760e-01| AAA  |    | T8636c73 |       L366  |
       |                 |              |             5877.249      |                 5877.2432990  |[169086.7664725]     - [186101.5461767]    |   5 - 7   |  7.0708e+07|  5.1263e-01| AAA  |    | T8636c73 |       L366  |
       |                 |              |                           |                 5877.5948285  |[169087.8308131]     - [186101.5928903]    |   1 - 3   |  3.9282e+07|  6.1034e-01| AAA  |    | T8636c73 |       L366  |
       |                 |              |             5877.249      |                 5877.2535620  |[169086.8428979]     - [186101.5928903]    |   3 - 3   |  2.9462e+07|  1.5257e-01| AAA  |    | T8636c73 |       L366  |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
    52 |                 |   3P* - 1D   |                           |                 5876.071919   | 169086.795132       -  186104.9666893     |   9 - 5   |  1.663e+04 |  4.782e-05 |      |    |          |             |
